close,high,low,open
4.64,4.72,4.57,4.65
4.66,4.7,4.52,4.52
4.55,4.56,4.42,4.44
4.47,4.54,4.42,4.52
4.56,4.74,4.35,4.36
4.39,4.54,4.38,4.49
4.51,4.52,4.39,4.43
4.42,4.45,4.32,4.37
4.36,4.64,4.33,4.57
4.55,4.62,4.45,4.5
4.53,4.63,4.45,4.55
4.55,4.75,4.5,4.66
4.7,4.95,4.61,4.9
4.93,5.13,4.91,4.91
4.97,5.07,4.88,4.94
5.08,5.23,4.83,5.02
5.04,5.25,5.01,5.2
5.17,5.39,5.13,5.24
5.3,5.35,5.09,5.28
5.27,5.36,5.04,5.15
5.26,5.75,5.17,5.48
5.51,5.51,4.95,5.01
5.01,5.11,4.86,5.07
5.03,5.19,4.94,5.18
5.21,5.23,5.04,5.11
5.26,5.3,5.12,5.24
5.17,5.2,4.81,4.82
4.75,5.06,4.74,5
5.05,5.15,4.91,4.94
4.91,5.15,4.75,5.1
5.1,5.32,5.08,5.26
5.29,5.57,5.27,5.47
5.44,5.6,5.26,5.38
5.61,6.14,5.61,6.01
6.23,6.48,5.7,6.17
6.2,6.8,6.09,6.33
6.45,6.45,5.71,5.82
5.86,5.92,5.65,5.77
5.74,5.98,5.73,5.94
5.88,6.17,5.73,6
6.06,6.25,5.96,6.25
6.32,6.45,5.85,5.92
6.06,6.7,6.06,6.7
6.73,7.27,6.5,7.1
7.2,7.7,6.4,6.5
7.06,7.06,6.13,6.6
6.42,6.42,5.99,6
5.84,5.84,5.1,5.22
5.31,5.31,4.61,4.8
4.83,4.83,4.22,4.24
4.39,4.6,4.13,4.5
4.51,4.51,4.4,4.5
4.1,4.1,3.82,3.82
3.73,3.8,3.65,3.73
3.7,3.79,3.67,3.79
3.76,3.78,3.7,3.73
3.71,3.88,3.71,3.86
3.85,3.88,3.79,3.82
3.8,3.86,3.78,3.83
3.85,3.9,3.81,3.87
3.88,3.94,3.87,3.9
3.9,3.94,3.82,3.87
3.88,3.89,3.63,3.72
3.71,3.71,3.62,3.69
3.71,3.86,3.65,3.84
3.85,3.87,3.8,3.83
3.83,3.99,3.83,3.92
3.94,4.02,3.83,4.02
3.98,4.04,3.96,3.97
3.99,4.18,3.93,4.18
3.98,4.1,3.83,4.03
4.08,4.4,4.08,4.28
4.31,4.66,4.25,4.28
4.28,4.35,4.19,4.23
4.23,4.26,4.16,4.24
4.18,4.2,4.11,4.11
4.1,4.12,4.07,4.1
4.11,4.16,4.06,4.15
4.11,4.2,4.08,4.18
4.19,4.26,4.04,4.06
4.06,4.21,4.05,4.17
4.16,4.26,4.15,4.26
4.22,4.24,4.15,4.18
4.18,4.21,4.13,4.14
4.18,4.25,4.13,4.2
4.21,4.26,4.07,4.1
4.07,4.15,4.04,4.07
4.07,4.13,4.02,4.1
4.1,4.33,4.09,4.23
4.18,4.31,4.11,4.24
4.23,4.25,4.1,4.1
4.13,4.26,4.13,4.24
4.25,4.34,4.22,4.27
4.27,4.42,4.27,4.37
4.31,4.54,4.3,4.44
4.56,4.71,4.28,4.28
4.28,4.4,4.26,4.37
4.37,4.43,4.28,4.35
4.29,4.6,4.23,4.45
4.27,4.27,3.85,3.88
3.88,3.89,3.82,3.89
3.85,3.99,3.83,3.95
3.99,4.08,3.99,4.06
4.07,4.13,4.07,4.07
4.1,4.2,4.09,4.15
4.19,4.22,4.06,4.08
4.1,4.17,4.06,4.11
4.17,4.49,4.06,4.06
4.09,4.32,4.08,4.21
4.3,4.49,4.21,4.4
4.35,4.54,4.03,4.09
4.13,4.22,4.08,4.15
4.22,4.25,4.1,4.1
4.15,4.17,4.04,4.13
4.13,4.13,4,4.05
4.07,4.29,3.97,4.26
4.25,4.38,4.21,4.22
4.25,4.41,4.21,4.34
4.4,4.47,4.13,4.21
4.25,4.74,4.24,4.4
4.49,4.49,4.01,4.01
4.08,4.08,3.78,4
4.07,4.19,4,4.01
4.23,4.61,4.1,4.2
4.19,4.19,3.75,3.84
3.81,3.81,3.35,3.5
3.46,3.52,3.34,3.5
0,0,0,0
3.67,3.67,3.52,3.52
3.56,3.58,3.37,3.4
3.47,3.49,3.36,3.37
3.4,3.46,3.32,3.36
3.36,3.46,3.3,3.43
3.47,3.6,3.44,3.5
3.46,3.53,3.3,3.33
3.38,3.41,3.24,3.25
3.28,3.44,3.25,3.35
3.35,3.35,3.28,3.28
3.19,3.19,3.1,3.14
3.14,3.18,3.02,3.04
3.04,3.04,2.99,3.01
3.01,3.01,2.97,3
2.99,3.04,2.96,3.04
3.01,3.06,2.98,2.98
3,3.01,2.98,2.98
3,3.05,2.99,3.04
3.06,3.06,3.01,3.05
3.05,3.08,3.03,3.08
3.06,3.1,2.99,3
3,3.02,2.97,2.97
2.99,2.99,2.95,2.98
2.98,3.07,2.97,3.05
3.05,3.06,3.02,3.02
3.06,3.06,3.02,3.02
3.05,3.06,3.02,3.06
3.06,3.08,3.03,3.04
3.04,3.1,3.04,3.09
3.09,3.09,3.04,3.05
3.04,3.04,2.94,3
3,3.07,2.98,3.03
3.01,3.02,2.97,2.97
3,3,2.97,2.99
3,3.02,2.97,3.02
3,3.01,2.96,3.01
3,3.03,2.95,3.03
3,3.06,2.98,3.06
3.02,3.07,2.95,3.05
3.07,3.12,3.06,3.06
3.1,3.12,2.95,2.98
2.97,3.02,2.96,3.02
3,3.03,2.96,3.01
2.98,3,2.95,3
2.98,2.99,2.94,2.98
2.99,3,2.95,3
2.99,3.01,2.98,2.99
2.97,3,2.94,2.95
2.95,3.04,2.95,3.03
3.03,3.08,2.94,2.94
2.95,2.96,2.83,2.86
2.86,2.89,2.81,2.81
2.83,2.83,2.72,2.72
2.75,2.75,2.69,2.7
2.7,2.73,2.66,2.71
2.63,2.77,2.61,2.77
2.74,2.89,2.74,2.86
2.88,2.9,2.85,2.88
2.88,2.92,2.83,2.88
2.88,2.95,2.86,2.86
2.9,2.93,2.86,2.86
2.86,2.9,2.8,2.89
2.9,3.02,2.9,3.02
3.05,3.06,2.95,2.97
2.97,3.13,2.94,3.13
3.08,3.19,3.07,3.07
3.1,3.25,3.08,3.25
3.24,3.24,3.03,3.03
3.09,3.2,3.01,3.1
3.05,3.05,2.85,2.91
2.9,2.93,2.81,2.85
2.84,2.88,2.72,2.76
2.76,2.81,2.63,2.69
2.68,2.71,2.63,2.63
2.66,2.69,2.63,2.69
2.67,2.68,2.6,2.61
2.64,2.68,2.61,2.66
2.66,2.71,2.65,2.7
2.72,2.78,2.69,2.76
2.77,2.81,2.75,2.75
2.78,2.81,2.75,2.76
2.8,2.84,2.78,2.82
2.82,2.84,2.74,2.74
2.81,2.84,2.66,2.69
2.7,2.7,2.61,2.64
2.57,2.66,2.57,2.65
2.67,2.68,2.62,2.68
2.65,2.68,2.63,2.63
2.64,2.69,2.59,2.6
2.59,2.61,2.51,2.56
2.56,2.57,2.52,2.55
2.56,2.6,2.55,2.59
2.59,2.61,2.58,2.6
2.61,2.62,2.59,2.6
2.61,2.65,2.55,2.65
2.63,2.66,2.62,2.63
2.64,2.71,2.63,2.7
2.71,2.73,2.7,2.73
2.72,2.73,2.69,2.69
2.7,2.71,2.67,2.67
2.69,2.7,2.68,2.7
2.69,2.72,2.67,2.71
2.71,2.74,2.7,2.7
2.68,2.71,2.67,2.69
2.68,2.7,2.66,2.7
2.68,2.69,2.65,2.69
2.68,2.71,2.68,2.71
2.71,2.71,2.68,2.71
2.71,2.72,2.69,2.72
2.72,2.73,2.69,2.7
2.71,2.76,2.7,2.76
2.75,2.77,2.73,2.77
2.75,2.79,2.71,2.73
2.72,2.75,2.66,2.68
2.69,2.69,2.66,2.69
2.69,2.7,2.66,2.67
2.68,2.69,2.65,2.67
2.68,2.69,2.66,2.68
2.68,2.68,2.62,2.62
2.61,2.63,2.58,2.59
2.59,2.59,2.56,2.58
2.56,2.56,2.53,2.54
2.56,2.56,2.49,2.5
2.52,2.66,2.5,2.66
2.63,2.74,2.61,2.71
2.67,2.69,2.66,2.69
2.69,2.69,2.66,2.69
2.68,2.69,2.66,2.69
2.69,2.7,2.67,2.67
2.7,2.72,2.67,2.71
2.7,2.75,2.67,2.75
2.73,2.77,2.73,2.77
2.77,2.77,2.73,2.76
2.76,2.78,2.74,2.77
2.77,2.77,2.74,2.76
2.76,2.79,2.74,2.79
2.79,2.8,2.77,2.78
2.8,2.81,2.79,2.8
2.8,2.81,2.78,2.78
2.8,2.82,2.77,2.82
2.78,2.78,2.76,2.78
2.78,2.79,2.76,2.77
2.75,2.77,2.75,2.77
2.77,2.79,2.75,2.78
2.77,2.81,2.74,2.8
2.81,2.82,2.79,2.82
2.82,2.84,2.8,2.83
2.84,2.85,2.83,2.84
2.86,2.86,2.83,2.84
2.84,2.84,2.81,2.81
2.82,2.83,2.79,2.79
2.81,2.82,2.79,2.82
2.82,2.84,2.75,2.75
2.75,2.79,2.73,2.77
2.76,2.9,2.74,2.9
2.88,2.92,2.86,2.92
2.92,2.92,2.89,2.89
2.89,2.91,2.84,2.87
2.84,2.85,2.75,2.77
2.79,2.79,2.77,2.79
2.79,2.81,2.77,2.8
2.8,2.8,2.75,2.76
2.77,2.8,2.69,2.78
2.78,2.87,2.77,2.87
2.75,2.76,2.68,2.7
2.72,2.82,2.71,2.81
2.81,2.84,2.78,2.81
2.8,2.83,2.75,2.77
2.78,2.79,2.76,2.76
2.78,2.8,2.73,2.8
2.8,2.88,2.77,2.88
2.84,2.89,2.74,2.74
2.75,2.77,2.71,2.73
2.73,2.74,2.72,2.74
2.74,2.75,2.71,2.72
2.73,2.77,2.68,2.72
2.72,2.74,2.7,2.71
2.72,2.73,2.69,2.7
2.7,2.73,2.65,2.73
2.73,2.79,2.68,2.79
2.75,2.75,2.6,2.62
2.62,2.64,2.59,2.64
2.63,2.63,2.56,2.56
2.58,2.62,2.56,2.59
2.6,2.63,2.58,2.61
2.61,2.62,2.54,2.57
